Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades (nº),Ar Cond,Direção Assistida,Combustível
ESPORTIVO,AUDI,RS6 Avant Plus,4.0-32V,-,A-8,S,E,G
ESPORTIVO,AUDI,RS7 Sportback Plus,4.0-32V,-,A-8,S,E,G
ESPORTIVO,AUDI,TT,2.0-16V,Coupé,DCT-6,S,E,G
ESPORTIVO,AUDI,TT,2.0-16V,Roadster,DCT-6,S,E,G
ESPORTIVO,AUDI,TTS,2.0-16V,Coupé,DCT-6,S,E,G
ESPORTIVO,AUDI,TTS,2.0-16V,Roadster,DCT-6,S,E,G
ESPORTIVO,AUDI,TTRS,2.5-20V,Coupé,DCT-7,S,E,G
ESPORTIVO,AUDI,R8,5.2-40V,Coupé,DCT-7,S,E,G
ESPORTIVO,AUDI,R8,5.2-40V,Spyder,DCT-7,S,E,G
ESPORTIVO,BMW,430i,2.0-16V,Cabrio,A-8,S,E-H,G
ESPORTIVO,BMW,M4,3.0-24V,Cabrio,DCT-7,S,E-H,G
ESPORTIVO,BMW,M4,3.0-24V,Coupe,DCT-7,S,E-H,G
ESPORTIVO,BMW,M240i,3.0-24V,-,A-8,S,E-H,G
ESPORTIVO,BMW,M2,3.0-24V,Competition,DCT-7,S,E-H,G
ESPORTIVO,CHEVROLET,Camaro,6.2-16V,2SS,A-8,S,E,G
ESPORTIVO,CHEVROLET,Camaro,6.2-16V,2SS CONV,A-8,S,E,G
ESPORTIVO,CHEVROLET,Camaro,6.2-16V,50TH,A-8,S,E,G
ESPORTIVO,FERRARI,Portofino,3.8-32V,--,DCT-7,S,E,G
ESPORTIVO,FERRARI,488,3.9-32V,GTB,DCT-7,S,E,G
ESPORTIVO,FERRARI,488,3.9-32V,SPYDER,DCT-7,S,E,G
ESPORTIVO,FERRARI,GTC4Lusso,6.2-48V,--,DCT-7,S,E,G
ESPORTIVO,FERRARI,812 Superfast,6.5-48V,--,DCT-7,S,E,G
ESPORTIVO,FORD,Mustang,5.0-32V,GT,A-10,S,E,G
ESPORTIVO,JAGUAR,F-Type,3.0-24V,COUPE,A-8,S,H,G
ESPORTIVO,JAGUAR,F-Type,3.0-24V,CABRIO,A-8,S,H,G
ESPORTIVO,JAGUAR,F-Type,3.0-24V,SCABRIO,A-8,S,H,G
ESPORTIVO,JAGUAR,F-Type,3.0-24V,SCOUPE,A-8,S,H,G
ESPORTIVO,JAGUAR,F-Type,3.0-24V,380RD CP,A-8,S,H,G
ESPORTIVO,JAGUAR,F-Type,5.0-32V,R COUP4W,A-8,S,H,G
ESPORTIVO,JAGUAR,F-Type,3.0-24V,400SPORT,A-8,S,E,G
ESPORTIVO,JAGUAR,F-Type,2.0-16V,300 CB,A-8,S,E,G
ESPORTIVO,JAGUAR,F-Type,2.0-16V,300 CP,A-8,S,E,G
ESPORTIVO,JAGUAR,F-Type,2.0-16V,300RD CB,A-8,S,E,G
ESPORTIVO,JAGUAR,F-Type,2.0-16V,300RD CP,A-8,S,E,G
ESPORTIVO,JAGUAR,F-Type,5.0-32V,SVR 575,A-8,S,E,G
ESPORTIVO,LAMBORGHINI,Huracan,5.2-40V,2S,DCT-7,S,E,G
ESPORTIVO,LAMBORGHINI,Huracan,5.2-40V,2W,DCT-7,S,E,G
ESPORTIVO,LAMBORGHINI,Huracan,5.2-40V,PF,DCT-7,S,E,G
ESPORTIVO,LAMBORGHINI,Aventador,6.5-48V,S,DCT-7,S,E,G
ESPORTIVO,LAMBORGHINI,Aventador,6.5-48V,SV,DCT-7,S,E,G
ESPORTIVO,LAMBORGHINI,Aventador,6.5-48V,SVR,DCT-7,S,E,G
ESPORTIVO,LAMBORGHINI,Urus,4.0-32V,-,A-8,S,E,G
ESPORTIVO,MCLAREN,720S Coupe,4.0-32V,Coupe,DCT,S,E,G
ESPORTIVO,MCLAREN,570,3.8-32V,GT,DCT,S,E,G
ESPORTIVO,MCLAREN,570,3.8-32V,S Coupe,DCT,S,E,G
ESPORTIVO,MCLAREN,570,3.8-32V,S Spider,DCT,S,E,G
ESPORTIVO,MERCEDES-BENZ,AMG C43,3.0-24V,Coupé,A-9,S,E,G
ESPORTIVO,MERCEDES-BENZ,AMG C 63 S,4.0-32V,Coupé,A-7,S,E,G
ESPORTIVO,MERCEDES-BENZ,CLS 400,3.0-24V,,A-9,S,E,G
ESPORTIVO,MERCEDES-BENZ,AMG S 63 4M,4.0-32V,Coupé,A-9,S,E,G
ESPORTIVO,MERCEDES-BENZ,AMG GT R,4.0-32V,,A-7,S,E,G
ESPORTIVO,MERCEDES-BENZ,AMG GT C,4.0-32V,Roadster,DCT-7,S,E,G
ESPORTIVO,MERCEDES-BENZ,SLC 300,2.0-16V,,A-9,S,E,G
ESPORTIVO,MINI,Cooper,2.0-16V,S,DCT-7,S,E-H,G
ESPORTIVO,MINI,Hatch,2.0-16V,JCW 3P,A-8,S,E-H,G
ESPORTIVO,MINI,Cabrio,2.0-16V,Cooper S,DCT-7,S,E-H,G
ESPORTIVO,MINI,Cabrio,2.0-16V,JCW,A-8,S,E-H,G
ESPORTIVO,NISSAN,GT-R Premium,3.8-24V,Premium,DCT-6,S,H,G
ESPORTIVO,NISSAN,GT-R Nismo,3.8-24V,Nismo,DCT-6,S,H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera Cabriolet,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera S,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera S Cabriolet,DCT-7,S,E-H,G
ESPORTIVO,PORSCHE,911,3.0-24V,Carrera 4S,DCT-7,S,E-H,G
